subset,n,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
leaked (in train),41,0.5627458047718432,0.3202663167130253,0.4689623982102314,0.470871760293369,0.8910895745928694,0.8756847236214614,0.8827862550572652
clean (not in train),778,0.517099407759789,0.27744800396360103,0.43110644020650146,0.43108329516238186,0.8733606026687475,0.8664058924947116,0.8690505415431025
full test set,819,0.5188068315293323,0.28041173592043633,0.4330922499623277,0.4330697627045412,0.8742481357303149,0.8668704013248066,0.8697381655666272
